ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary
TKT-001,2/5/2024 11:14,General,Low,Resolved,3.7,7.8,AGT-03,4.0,Request for product documentation
TKT-002,3/5/2024 17:01,Billing,Low,Resolved,1.2,13.7,AGT-09,4.0,Incorrect charge on invoice
TKT-003,2/13/2024 12:09,Billing,High,Resolved,4.8,2.1,AGT-04,5.0,Unexpected fee on account
TKT-004,3/9/2024 9:59,Billing,High,Resolved,0.6,10.7,AGT-07,4.0,Subscription not activated after payment
TKT-005,3/25/2024 11:49,General,Low,Open,4.9,,AGT-05,,How to export data to CSV
TKT-006,3/22/2024 13:10,Technical,Low,Resolved,1.9,34.1,AGT-06,2.0,Dashboard not loading
TKT-007,1/21/2024 15:24,General,High,Open,4.9,,AGT-05,,Question about usage limits
TKT-008,1/8/2024 11:52,General,Medium,Resolved,4.1,22.1,AGT-01,4.0,Request for account deletion
TKT-009,2/20/2024 18:29,Billing,High,Resolved,1.5,3.9,AGT-03,4.0,Wrong plan charged
TKT-010,1/18/2024 16:31,Technical,Low,Open,3.8,,AGT-02,,Dashboard not loading
TKT-011,3/28/2024 14:38,General,Low,Resolved,2.0,15.1,AGT-02,4.0,Request for product documentation
TKT-012,3/28/2024 16:48,General,High,Resolved,3.9,2.7,AGT-05,1.0,Need help with onboarding
TKT-013,3/5/2024 9:55,General,High,Open,1.6,,AGT-11,,Question about usage limits
TKT-014,1/21/2024 16:49,Billing,Medium,Resolved,4.6,4.5,AGT-09,4.0,Unexpected fee on account
TKT-015,3/13/2024 9:05,Billing,Low,Resolved,2.5,37.7,AGT-12,2.0,Payment failed but amount deducted
TKT-016,3/8/2024 17:27,General,Low,Open,4.7,,AGT-04,,Question about usage limits
TKT-017,3/26/2024 18:23,General,Medium,Resolved,4.5,3.4,AGT-08,1.0,Question about usage limits
TKT-018,1/10/2024 18:03,General,Low,Resolved,0.5,26.6,AGT-04,3.0,Change notification preferences
TKT-019,3/14/2024 17:30,Billing,Medium,Open,4.0,,AGT-04,,Subscription not activated after payment
TKT-020,2/25/2024 13:27,Billing,Low,Open,2.4,,AGT-07,,Refund not processed
TKT-021,2/13/2024 9:15,Billing,Medium,Resolved,1.1,8.1,AGT-04,3.0,Refund not processed
TKT-022,3/11/2024 9:03,Technical,High,Open,5.0,,AGT-11,,API timeout errors in production
TKT-023,3/3/2024 15:13,Billing,Low,Resolved,4.5,76.1,AGT-07,5.0,Payment failed but amount deducted
TKT-024,3/12/2024 18:45,Technical,Medium,Resolved,0.9,14.7,AGT-08,4.0,Error 500 on checkout page
TKT-025,3/2/2024 16:58,Billing,Low,Escalated,1.0,,AGT-09,,Refund not processed
TKT-026,1/9/2024 18:55,Billing,Low,Open,2.1,,AGT-04,,Subscription not activated after payment
TKT-027,3/20/2024 9:26,General,Medium,Resolved,3.0,6.5,AGT-11,5.0,Question about usage limits
TKT-028,3/26/2024 18:19,Technical,Medium,Open,1.7,,AGT-08,,API timeout errors in production
TKT-029,3/13/2024 9:04,Billing,Medium,Resolved,1.2,21.4,AGT-09,5.0,Invoice not received
TKT-030,3/10/2024 12:39,Technical,Low,Resolved,2.7,45.0,AGT-11,2.0,Dashboard not loading
TKT-031,1/14/2024 16:09,Technical,Low,Resolved,1.6,34.2,AGT-05,5.0,Database connection timeout
TKT-032,1/7/2024 9:40,Technical,Low,Resolved,4.2,9.8,AGT-07,5.0,Dashboard not loading
TKT-033,2/24/2024 16:00,General,Medium,Open,0.6,,AGT-02,,Feature request: dark mode
TKT-034,2/17/2024 17:35,General,Low,Resolved,2.3,45.1,AGT-03,5.0,Request for product documentation
TKT-035,2/1/2024 18:06,Technical,Low,Open,3.9,,AGT-06,,SSL certificate issue
TKT-036,1/31/2024 10:51,General,High,Resolved,4.4,4.7,AGT-03,5.0,Question about usage limits
TKT-037,3/30/2024 9:24,Technical,Low,Resolved,4.3,24.3,AGT-01,3.0,Integration broken after version upgrade
TKT-038,1/25/2024 14:21,Billing,Low,Escalated,4.3,,AGT-05,,Unexpected fee on account
TKT-039,2/21/2024 18:53,Technical,Medium,Resolved,1.8,7.7,AGT-09,4.0,Data sync not working
TKT-040,2/25/2024 13:46,Billing,Low,Escalated,2.3,,AGT-06,,Refund not processed
TKT-041,1/25/2024 12:02,Technical,High,Resolved,2.3,8.6,AGT-12,5.0,Integration broken after version upgrade
TKT-042,3/26/2024 13:39,Technical,Medium,Resolved,3.4,13.2,AGT-06,4.0,Error 500 on checkout page
